Dataset,Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Original,Logistic Regression,0.807,0.6711,0.5348,0.5952,0.8463
Original,Gradient Boosting,0.7942,0.6448,0.5,0.5633,0.8435
Original,AdaBoost,0.8055,0.6592,0.5535,0.6017,0.8416
Original,LightGBM,0.7921,0.6278,0.5321,0.576,0.831
Original,Random Forest,0.7814,0.6154,0.4706,0.5333,0.8213
Original,XGBoost,0.7786,0.5963,0.5134,0.5517,0.8203
Original,Naive Bayes,0.6615,0.4316,0.869,0.5768,0.805
Original,SVM,0.7892,0.6332,0.4893,0.552,0.7916
Original,KNN,0.758,0.5481,0.5027,0.5244,0.7694
Original,Decision Tree,0.7381,0.5067,0.508,0.5073,0.6644
SMOTE,Logistic Regression,0.7402,0.5069,0.7861,0.6164,0.8465
SMOTE,AdaBoost,0.7615,0.5358,0.7594,0.6283,0.8423
SMOTE,Gradient Boosting,0.78,0.5721,0.6791,0.621,0.8401
SMOTE,LightGBM,0.7842,0.5926,0.5989,0.5957,0.8337
SMOTE,Random Forest,0.7743,0.5737,0.5829,0.5782,0.8224
SMOTE,XGBoost,0.775,0.5772,0.5695,0.5734,0.8199
SMOTE,SVM,0.7573,0.5314,0.7246,0.6131,0.8193
SMOTE,Naive Bayes,0.6643,0.4334,0.861,0.5765,0.8059
SMOTE,KNN,0.7019,0.4596,0.7005,0.5551,0.756
SMOTE,Decision Tree,0.726,0.4863,0.5695,0.5246,0.6759
