,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn_Binary
gender,1.0,-0.0018737116382607595,-0.0018080796617890192,0.010516611922734075,0.00510622261994984,-0.006487672136208101,-0.0067387426977074255,-0.0008633824690842106,-0.01501688713089826,-0.012056753649857884,0.0005490359012387166,-0.006824559477422421,-0.006421366425597843,-0.008743154203217848,0.00012574765070890289,-0.01175369122122214,0.017352264093369273,-0.014569323728667193,4.78021926214163e-05,-0.00861209507899784
SeniorCitizen,-0.0018737116382607595,1.0,0.01647865759741389,-0.2111850884939573,0.016566877681809315,0.008576401079279374,0.14618487000751668,-0.03231015021349379,-0.1282213073792809,-0.013632137487694488,-0.021397648570937438,-0.15126769710059454,0.03077634864734141,0.04726635868939242,-0.1425540803170182,0.15652955931117266,-0.038550813356240665,0.22017333857627205,0.1023951028816853,0.15088932817647233
Partner,-0.0018080796617890192,0.01647865759741389,1.0,0.4526762829294659,0.37969746116829306,0.017705663223971994,0.1424104913867255,0.00089134690104755,0.15082828139737575,0.15313013363877365,0.16633035045782818,0.12673332193017103,0.13734143704128812,0.1295738934693046,0.2948062243608581,-0.014876622287891071,-0.1547975288443166,0.0968479362564748,0.318811563874563,-0.15044754495917623
Dependents,0.010516611922734075,-0.2111850884939573,0.4526762829294659,1.0,0.15971233121691789,-0.0017616785446837207,-0.024990641743746534,0.044590440655243486,0.15216638319903736,0.09101476769853349,0.08053716274250516,0.1335235308040772,0.04688488572148709,0.02132101638001171,0.2431874726112324,-0.11137722919364468,-0.04029189884281974,-0.11389023002193566,0.06453491789717089,-0.1642214015797254
tenure,0.00510622261994984,0.016566877681809315,0.37969746116829306,0.15971233121691789,1.0,0.008448206732743782,0.3430318543029517,-0.030359034302831562,0.3254678404006727,0.3708761230158473,0.3711054358369813,0.32294158278284035,0.2893732175153081,0.29686627283837014,0.6716065492280612,0.0061524815982710816,-0.3704361179501737,0.24789985628615094,0.8247573156351048,-0.35222867011307885
PhoneService,-0.006487672136208101,0.008576401079279374,0.017705663223971994,-0.0017616785446837207,0.008448206732743782,1.0,-0.020537831331319093,0.38743602203093397,-0.015198344437000756,0.024104791269770033,0.0037273157804523223,-0.01915768564290478,0.05535325402339193,0.04386961858602847,0.0022473743972105924,0.016504805732569586,-0.004184054071146129,0.24739796321413557,0.11285074250448583,0.011941980029003084
MultipleLines,-0.0067387426977074255,0.14618487000751668,0.1424104913867255,-0.024990641743746534,0.3430318543029517,-0.020537831331319093,1.0,-0.10921579835967898,0.007140508466166322,0.11732730173827302,0.12231802668500681,0.011466090579390062,0.17505902473785218,0.18095715934283466,0.11084224470612213,0.16514589441869398,-0.17679340962680806,0.43357600985754025,0.4528831432299614,0.03803688560618697
InternetService,-0.0008633824690842106,-0.03231015021349379,0.00089134690104755,0.044590440655243486,-0.030359034302831562,0.38743602203093397,-0.10921579835967898,1.0,-0.028416181009597086,0.036137937447659925,0.04494426852231207,-0.0260469460171025,0.10741677242201335,0.09834960620503302,0.09972078257606634,-0.1386247786141518,0.08613985814228345,-0.32326019233734665,-0.17542893626832248,-0.04729138768314237
OnlineSecurity,-0.01501688713089826,-0.1282213073792809,0.15082828139737575,0.15216638319903736,0.3254678404006727,-0.015198344437000756,0.007140508466166322,-0.028416181009597086,1.0,0.1851255859540038,0.17598532884383397,0.2850284651165717,0.04466927200413857,0.05595360952577276,0.37441553839452074,-0.15764119168395013,-0.09672594707493502,-0.05387809435646645,0.25430829519654774,-0.28930899612232397
OnlineBackup,-0.012056753649857884,-0.013632137487694488,0.15313013363877365,0.09101476769853349,0.3708761230158473,0.024104791269770033,0.11732730173827302,0.036137937447659925,0.1851255859540038,1.0,0.1877568644348702,0.1957481477511384,0.1471856649329183,0.13672196483576182,0.280980144375937,-0.0133703801710006,-0.12484738116636102,0.1197772451929753,0.37536152951888174,-0.19552501409217554
DeviceProtection,0.0005490359012387166,-0.021397648570937438,0.16633035045782818,0.08053716274250516,0.3711054358369813,0.0037273157804523223,0.12231802668500681,0.04494426852231207,0.17598532884383397,0.1877568644348702,1.0,0.2405931211763675,0.27665154712199846,0.2887993891072689,0.3502770893212923,-0.03823403131782036,-0.1357499660037411,0.16365186551661506,0.3888635815145608,-0.1781338610668767
TechSupport,-0.006824559477422421,-0.15126769710059454,0.12673332193017103,0.1335235308040772,0.32294158278284035,-0.01915768564290478,0.011466090579390062,-0.0260469460171025,0.2850284651165717,0.1957481477511384,0.2405931211763675,1.0,0.16130502447068135,0.16131580211317445,0.42536667159313896,-0.1135996414171653,-0.10466971386726182,-0.008681601970787128,0.2767129830420075,-0.2824916082046515
StreamingTV,-0.006421366425597843,0.03077634864734141,0.13734143704128812,0.04688488572148709,0.2893732175153081,0.05535325402339193,0.17505902473785218,0.10741677242201335,0.04466927200413857,0.1471856649329183,0.27665154712199846,0.16130502447068135,1.0,0.43477235280035037,0.22711557248002368,0.0966415670868016,-0.10423369902939797,0.3367062385877731,0.3922912506280959,-0.03658099337318685
StreamingMovies,-0.008743154203217848,0.04726635868939242,0.1295738934693046,0.02132101638001171,0.29686627283837014,0.04386961858602847,0.18095715934283466,0.09834960620503302,0.05595360952577276,0.13672196483576182,0.2887993891072689,0.16131580211317445,0.43477235280035037,1.0,0.23122551604935784,0.08370044889464152,-0.11124057617929746,0.33545948232818495,0.39790927761169925,-0.03849162851988731
Contract,0.00012574765070890289,-0.1425540803170182,0.2948062243608581,0.2431874726112324,0.6716065492280612,0.0022473743972105924,0.11084224470612213,0.09972078257606634,0.37441553839452074,0.280980144375937,0.3502770893212923,0.42536667159313896,0.22711557248002368,0.23122551604935784,1.0,-0.1767330778205538,-0.22754349681632216,-0.0741946671919536,0.44951066124220385,-0.39671262920984274
PaperlessBilling,-0.01175369122122214,0.15652955931117266,-0.014876622287891071,-0.11137722919364468,0.0061524815982710816,0.016504805732569586,0.16514589441869398,-0.1386247786141518,-0.15764119168395013,-0.0133703801710006,-0.03823403131782036,-0.1135996414171653,0.0966415670868016,0.08370044889464152,-0.1767330778205538,1.0,-0.0629039511534789,0.35214996779598723,0.157676300410698,0.19182533166646878
PaymentMethod,0.017352264093369273,-0.038550813356240665,-0.1547975288443166,-0.04029189884281974,-0.3704361179501737,-0.004184054071146129,-0.17679340962680806,0.08613985814228345,-0.09672594707493502,-0.12484738116636102,-0.1357499660037411,-0.10466971386726182,-0.10423369902939797,-0.11124057617929746,-0.22754349681632216,-0.0629039511534789,1.0,-0.1934072938809708,-0.33015052666759165,0.10706200587340331
MonthlyCharges,-0.014569323728667193,0.22017333857627205,0.0968479362564748,-0.11389023002193566,0.24789985628615094,0.24739796321413557,0.43357600985754025,-0.32326019233734665,-0.05387809435646645,0.1197772451929753,0.16365186551661506,-0.008681601970787128,0.3367062385877731,0.33545948232818495,-0.0741946671919536,0.35214996779598723,-0.1934072938809708,1.0,0.650468040441556,0.19335642223784716
TotalCharges,4.78021926214163e-05,0.1023951028816853,0.318811563874563,0.06453491789717089,0.8247573156351048,0.11285074250448583,0.4528831432299614,-0.17542893626832248,0.25430829519654774,0.37536152951888174,0.3888635815145608,0.2767129830420075,0.3922912506280959,0.39790927761169925,0.44951066124220385,0.157676300410698,-0.33015052666759165,0.650468040441556,1.0,-0.19942771508831444
Churn_Binary,-0.00861209507899784,0.15088932817647233,-0.15044754495917623,-0.1642214015797254,-0.35222867011307885,0.011941980029003084,0.03803688560618697,-0.04729138768314237,-0.28930899612232397,-0.19552501409217554,-0.1781338610668767,-0.2824916082046515,-0.03658099337318685,-0.03849162851988731,-0.39671262920984274,0.19182533166646878,0.10706200587340331,0.19335642223784716,-0.19942771508831444,1.0
