Feature,Method,Original columns,Encoded columns
gender,Label Encoding,"['Female', 'Male']","['Female', 'Male']"
Partner,Label Encoding,"['Yes', 'No']","['No', 'Yes']"
Dependents,Label Encoding,"['No', 'Yes']","['No', 'Yes']"
PhoneService,Label Encoding,"['No', 'Yes']","['No', 'Yes']"
PaperlessBilling,Label Encoding,"['Yes', 'No']","['No', 'Yes']"
Churn,Label Encoding,"['No', 'Yes']","['No', 'Yes']"
MultipleLines,One-Hot Encoding,"['No phone service', 'No', 'Yes']","['MultipleLines_No phone service', 'MultipleLines_Yes']"
InternetService,One-Hot Encoding,"['DSL', 'Fiber optic', 'No']","['InternetService_Fiber optic', 'InternetService_No']"
OnlineSecurity,One-Hot Encoding,"['No', 'Yes', 'No internet service']","['OnlineSecurity_No internet service', 'OnlineSecurity_Yes']"
OnlineBackup,One-Hot Encoding,"['Yes', 'No', 'No internet service']","['OnlineBackup_No internet service', 'OnlineBackup_Yes']"
DeviceProtection,One-Hot Encoding,"['No', 'Yes', 'No internet service']","['DeviceProtection_No internet service', 'DeviceProtection_Yes']"
TechSupport,One-Hot Encoding,"['No', 'Yes', 'No internet service']","['TechSupport_No internet service', 'TechSupport_Yes']"
StreamingTV,One-Hot Encoding,"['No', 'Yes', 'No internet service']","['StreamingTV_No internet service', 'StreamingTV_Yes']"
StreamingMovies,One-Hot Encoding,"['No', 'Yes', 'No internet service']","['StreamingMovies_No internet service', 'StreamingMovies_Yes']"
Contract,One-Hot Encoding,"['Month-to-month', 'One year', 'Two year']","['Contract_One year', 'Contract_Two year']"
PaymentMethod,One-Hot Encoding,"['Electronic check', 'Mailed check', 'Bank transfer (automatic)', 'Credit card (automatic)']","['PaymentMethod_Credit card (automatic)', 'PaymentMethod_Electronic check', 'PaymentMethod_Mailed check']"
