Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression (Baseline),0.7402,0.5069,0.7861,0.6164,0.8465
Logistic Regression (Tuned),0.7395,0.506,0.7888,0.6165,0.8463
AdaBoost (Baseline),0.7615,0.5358,0.7594,0.6283,0.8423
XGBoost (Tuned),0.7715,0.5506,0.7567,0.6374,0.8418
LightGBM (Tuned),0.7842,0.5866,0.6337,0.6093,0.8415
SVM (Tuned),0.6941,0.4575,0.8209,0.5876,0.8403
Gradient Boosting (Baseline),0.78,0.5721,0.6791,0.621,0.8401
Random Forest (Tuned),0.7466,0.5148,0.7914,0.6238,0.8386
LightGBM (Baseline),0.7842,0.5926,0.5989,0.5957,0.8337
Random Forest (Baseline),0.7743,0.5737,0.5829,0.5782,0.8224
XGBoost (Baseline),0.775,0.5772,0.5695,0.5734,0.8199
Decision Tree (Tuned),0.7559,0.5294,0.7219,0.6109,0.8199
SVM (Baseline),0.7573,0.5314,0.7246,0.6131,0.8193
Naive Bayes (Baseline),0.6643,0.4334,0.861,0.5765,0.8059
KNN (Tuned),0.6906,0.452,0.7807,0.5725,0.7857
KNN (Baseline),0.7019,0.4596,0.7005,0.5551,0.756
Decision Tree (Baseline),0.726,0.4863,0.5695,0.5246,0.6759
