Feature,Correlation_With_Churn,Abs_Corr_With_Churn
Contract,-0.39671262920984274,0.39671262920984274
tenure,-0.35222867011307885,0.35222867011307885
OnlineSecurity,-0.28930899612232397,0.28930899612232397
TechSupport,-0.2824916082046515,0.2824916082046515
TotalCharges,-0.19942771508831444,0.19942771508831444
OnlineBackup,-0.19552501409217554,0.19552501409217554
MonthlyCharges,0.19335642223784716,0.19335642223784716
PaperlessBilling,0.19182533166646878,0.19182533166646878
DeviceProtection,-0.1781338610668767,0.1781338610668767
Dependents,-0.1642214015797254,0.1642214015797254
SeniorCitizen,0.15088932817647233,0.15088932817647233
Partner,-0.15044754495917623,0.15044754495917623
PaymentMethod,0.10706200587340331,0.10706200587340331
InternetService,-0.04729138768314237,0.04729138768314237
StreamingMovies,-0.03849162851988731,0.03849162851988731
MultipleLines,0.03803688560618697,0.03803688560618697
StreamingTV,-0.03658099337318685,0.03658099337318685
PhoneService,0.011941980029003084,0.011941980029003084
gender,-0.00861209507899784,0.00861209507899784
